shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP000001,ORD100001,CUST6312,2026-07-01,Chennai_WH05,Pune,Chennai,FedEx,Bike,20.17,2264,4397.24,Delivered
SHP000002,ORD100002,CUST7734,2026-07-01,Bengaluru_WH03,Hyderabad,Kolkata,DHL,Truck,13.47,274,734.84,Delivered
SHP000003,ORD100003,CUST5089,2026-07-01,Bengaluru_WH03,Pune,Mumbai,Blue Dart,Truck,3.84,1626,3052.88,Delivered
SHP000004,ORD100004,CUST7754,2026-07-01,Hyderabad_WH04,Bengaluru,Jaipur,Ecom Express,Truck,32.78,765,1850.36,Returned
SHP000005,ORD100005,CUST6284,2026-07-01,Chennai_WH05,Mumbai,Hyderabad,Ecom Express,Van,47.44,1721,3747.08,Delivered
SHP000006,ORD100006,CUST1045,2026-07-01,Chennai_WH05,Hyderabad,Delhi,FedEx,Bike,44.02,2265,4685.24,Delivered
SHP000007,ORD100007,CUST7945,2026-07-01,Chennai_WH05,Delhi,Kolkata,Ecom Express,Mini Truck,20.27,2068,4045.64,Delivered
SHP000008,ORD100008,CUST7428,2026-07-01,Bengaluru_WH03,Chennai,Jaipur,Delhivery,Bike,23.63,358,1007.96,Cancelled
SHP000009,ORD100009,CUST6663,2026-07-01,Bengaluru_WH03,Hyderabad,Jaipur,FedEx,Mini Truck,4.98,587,1196.36,Delivered
SHP000010,ORD100010,CUST1522,2026-07-01,Chennai_WH05,Pune,Ahmedabad,Blue Dart,Bike,8.9,2319,4361.0,Returned
SHP000011,ORD100011,CUST6966,2026-07-01,Bengaluru_WH03,Jaipur,Hyderabad,DHL,Truck,37.95,2283,4644.8,Delivered
SHP000012,ORD100012,CUST8055,2026-07-01,Delhi_WH01,Bengaluru,Ahmedabad,Delhivery,Bike,12.85,1075,2169.2,Delayed
SHP000013,ORD100013,CUST5007,2026-07-01,Hyderabad_WH04,Kolkata,Chennai,DHL,Truck,29.2,2041,4104.2,Delivered
SHP000014,ORD100014,CUST9766,2026-07-01,Bengaluru_WH03,Mumbai,Delhi,Delhivery,Bike,37.54,974,2283.68,Delivered
SHP000015,ORD100015,CUST7279,2026-07-01,Mumbai_WH02,Bengaluru,Mumbai,Blue Dart,Truck,24.12,801,1811.24,Delivered
SHP000016,ORD100016,CUST4651,2026-07-01,Mumbai_WH02,Delhi,Bengaluru,Ecom Express,Mini Truck,25.23,2222,4382.36,Delivered
SHP000017,ORD100017,CUST6817,2026-07-01,Mumbai_WH02,Kolkata,Jaipur,FedEx,Mini Truck,8.2,2047,3863.0,In Transit
SHP000018,ORD100018,CUST5342,2026-07-01,Bengaluru_WH03,Mumbai,Lucknow,FedEx,Truck,4.72,1504,2843.84,In Transit
SHP000019,ORD100019,CUST8748,2026-07-01,Bengaluru_WH03,Chennai,Lucknow,FedEx,Bike,15.18,922,1921.76,In Transit
SHP000020,ORD100020,CUST1026,2026-07-01,Bengaluru_WH03,Pune,Lucknow,DHL,Van,34.85,540,1470.2,Delayed
SHP000021,ORD100021,CUST1442,2026-07-01,Hyderabad_WH04,Lucknow,Kolkata,FedEx,Bike,38.08,2148,4403.36,Delivered
