shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status,currency_code
SHP002001,ORD102001,CUST7831,2026-07-03,Delhi_WH01,Delhi,Jaipur,Blue Dart,Van,17.11,1314,2650.52,Delivered,inr
SHP002002,ORD102002,CUST7370,2026-07-03,Bengaluru_WH03,Bengaluru,Kolkata,Blue Dart,Truck,27.74,1065,2329.88,In Transit,inr
SHP002003,ORD102003,CUST3023,2026-07-03,Mumbai_WH02,Chennai,Hyderabad,FedEx,Truck,27.27,2051,4099.04,Delivered,inr
SHP002004,ORD102004,CUST2370,2026-07-03,Delhi_WH01,Jaipur,Pune,Delhivery,Van,15.71,802,1712.12,In Transit,inr
SHP002005,ORD102005,CUST6067,2026-07-03,Bengaluru_WH03,Pune,Lucknow,Blue Dart,Van,14.22,2089,4010.84,Delivered,inr
SHP002006,ORD102006,CUST7872,2026-07-03,Bengaluru_WH03,Hyderabad,Chennai,Delhivery,Mini Truck,9.66,1189,2336.12,Delayed,inr
SHP002007,ORD102007,CUST5587,2026-07-03,Bengaluru_WH03,Delhi,Ahmedabad,DHL,Truck,45.03,1353,3055.76,Delivered,inr
SHP002008,ORD102008,CUST4081,2026-07-03,Delhi_WH01,Kolkata,Mumbai,Delhivery,Truck,48.11,584,1708.52,In Transit,inr
SHP002009,ORD102009,CUST3874,2026-07-03,Bengaluru_WH03,Delhi,Lucknow,DHL,Mini Truck,3.77,2474,4578.44,Delivered,inr
SHP002010,ORD102010,CUST1489,2026-07-03,Hyderabad_WH04,Bengaluru,Pune,Ecom Express,Bike,4.47,1007,1946.24,Delivered,inr
SHP002011,ORD102011,CUST2579,2026-07-03,Bengaluru_WH03,Chennai,Jaipur,Delhivery,Mini Truck,32.88,2042,4150.16,Delivered,inr
SHP002012,ORD102012,CUST7888,2026-07-03,Chennai_WH05,Kolkata,Delhi,FedEx,Truck,7.95,590,1237.4,In Transit,Inr
SHP002013,ORD102013,CUST7887,2026-07-03,Bengaluru_WH03,Ahmedabad,Jaipur,Blue Dart,Van,40.94,895,2182.28,Delivered,Inr
SHP002014,ORD102014,CUST9876,2026-07-03,Delhi_WH01,Mumbai,Kolkata,Delhivery,Truck,14.22,465,1087.64,Delivered,Inr
SHP002015,ORD102015,CUST8813,2026-07-03,Delhi_WH01,Lucknow,Ahmedabad,Ecom Express,Bike,11.07,1466,2851.64,Delivered,Inr
SHP002016,ORD102016,CUST1222,2026-07-03,Bengaluru_WH03,Bengaluru,Chennai,Blue Dart,Van,42.76,304,1140.32,Delivered,Inr
SHP002017,ORD102017,CUST5036,2026-07-03,Hyderabad_WH04,Hyderabad,Delhi,FedEx,Van,36.21,1396,3027.32,Delivered,Inr
SHP002018,ORD102018,CUST1812,2026-07-03,Hyderabad_WH04,Mumbai,Kolkata,Blue Dart,Mini Truck,7.36,1105,2157.32,Delivered,Inr
SHP002019,ORD102019,CUST2939,2026-07-03,Chennai_WH05,Bengaluru,Chennai,Delhivery,Mini Truck,23.56,1729,3474.92,Delivered,Inr
SHP002020,ORD102020,CUST9949,2026-07-03,Delhi_WH01,Jaipur,Bengaluru,FedEx,Truck,9.07,688,1427.24,Delivered,Inr
SHP002021,ORD102021,CUST6138,2026-07-03,Bengaluru_WH03,Hyderabad,Pune,DHL,Truck,22.91,1147,2419.52,Delivered,Inr
SHP002022,ORD102022,CUST8168,2026-07-03,Bengaluru_WH03,Jaipur,Lucknow,DHL,Truck,43.5,1235,2825.0,In Transit,INR
SHP002023,ORD102023,CUST9283,2026-07-03,Bengaluru_WH03,Chennai,Lucknow,Delhivery,Van,35.37,2496,4997.24,Delivered,INR
SHP002024,ORD102024,CUST5017,2026-07-03,Bengaluru_WH03,Hyderabad,Ahmedabad,DHL,Mini Truck,34.39,768,1875.08,Delivered,INR
SHP002025,ORD102025,CUST2962,2026-07-03,Delhi_WH01,Chennai,Bengaluru,Delhivery,Truck,42.03,204,951.56,In Transit,INR
SHP002026,ORD102026,CUST6314,2026-07-03,Chennai_WH05,Mumbai,Ahmedabad,Delhivery,Bike,32.57,240,902.84,In Transit,INR
SHP002027,ORD102027,CUST4280,2026-07-03,Bengaluru_WH03,Delhi,Lucknow,Blue Dart,Truck,10.6,100,387.2,Delivered,INR
SHP002028,ORD102028,CUST2242,2026-07-03,Mumbai_WH02,Mumbai,Ahmedabad,Blue Dart,Truck,49.01,633,1807.52,In Transit,INR
SHP002029,ORD102029,CUST5860,2026-07-03,Hyderabad_WH04,Chennai,Ahmedabad,FedEx,Truck,28.93,1659,3413.36,Returned,INR
SHP002030,ORD102030,CUST6695,2026-07-03,Mumbai_WH02,Hyderabad,Lucknow,FedEx,Truck,0.96,1200,2251.52,Delivered,INR
SHP002031,ORD102031,CUST1331,2026-07-03,Delhi_WH01,Chennai,Bengaluru,Blue Dart,Van,5.83,2448,4556.36,In Transit,INR
SHP002032,ORD102032,CUST2520,2026-07-03,Hyderabad_WH04,Pune,Hyderabad,FedEx,Bike,22.58,907,1983.56,Delivered,INR
SHP002033,ORD102033,CUST5043,2026-07-03,Chennai_WH05,Lucknow,Mumbai,Delhivery,Bike,13.33,588,1298.36,Delivered,INR
SHP002034,ORD102034,CUST3783,2026-07-03,Delhi_WH01,Lucknow,Ahmedabad,Blue Dart,Mini Truck,49.95,1323,3060.8,In Transit,INR
SHP002035,ORD102035,CUST7367,2026-07-03,Delhi_WH01,Chennai,Hyderabad,FedEx,Mini Truck,0.93,343,708.56,In Transit,INR
SHP002036,ORD102036,CUST3175,2026-07-03,Chennai_WH05,Delhi,Ahmedabad,Blue Dart,Truck,47.0,1558,3448.4,Delivered,INR
SHP002037,ORD102037,CUST9079,2026-07-03,Hyderabad_WH04,Chennai,Delhi,Ecom Express,Van,9.53,2083,3943.76,In Transit,INR
SHP002038,ORD102038,CUST1986,2026-07-03,Mumbai_WH02,Hyderabad,Pune,DHL,Bike,28.2,2405,4747.4,Delivered,INR
SHP002039,ORD102039,CUST4182,2026-07-03,Chennai_WH05,Kolkata,Jaipur,Ecom Express,Van,42.7,872,2162.0,Delivered,INR
SHP002040,ORD102040,CUST5352,2026-07-03,Mumbai_WH02,Hyderabad,Chennai,Blue Dart,Van,33.57,1442,3078.44,Delayed,INR
SHP002041,ORD102041,CUST4318,2026-07-03,Chennai_WH05,Pune,Jaipur,FedEx,Mini Truck,8.6,844,1702.4,Returned,INR
SHP002042,ORD102042,CUST1799,2026-07-03,Chennai_WH05,Delhi,Bengaluru,DHL,Bike,13.6,1324,2626.4,Delivered,INR
SHP002043,ORD102043,CUST2813,2026-07-03,Hyderabad_WH04,Ahmedabad,Pune,Delhivery,Bike,46.84,819,2116.28,Delivered,INR
SHP002044,ORD102044,CUST8428,2026-07-03,Chennai_WH05,Ahmedabad,Pune,Ecom Express,Bike,15.05,2271,4348.4,Cancelled,INR
SHP002045,ORD102045,CUST7526,2026-07-03,Hyderabad_WH04,Mumbai,Chennai,Ecom Express,Truck,6.97,312,725.24,Delivered,INR
SHP002046,ORD102046,CUST5331,2026-07-03,Bengaluru_WH03,Ahmedabad,Hyderabad,Ecom Express,Bike,30.98,783,1861.16,Delivered,INR
