shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status,exception_flag
SHP003001,ORD103001,CUST3790,2026-07-04,Hyderabad_WH04,Chennai,Lucknow,Delhivery,Bike,40.1,166,860.0,Delivered,False
SHP003002,ORD103002,CUST4121,2026-07-04,Delhi_WH01,Chennai,Mumbai,Blue Dart,Bike,20.0,1145,2381.0,Delivered,False
SHP003003,ORD103003,CUST3303,2026-07-04,Chennai_WH05,Kolkata,Chennai,DHL,Van,14.38,429,1024.76,Delivered,False
SHP003004,ORD103004,CUST4733,2026-07-04,Chennai_WH05,Bengaluru,Lucknow,Delhivery,Mini Truck,11.41,980,1980.92,Delivered,False
SHP003005,ORD103005,CUST5711,2026-07-04,Delhi_WH01,Bengaluru,Delhi,Delhivery,Van,9.04,1924,3651.68,Delivered,False
SHP003006,ORD103006,CUST3365,2026-07-04,Bengaluru_WH03,Lucknow,Ahmedabad,Ecom Express,Mini Truck,13.73,2049,3932.96,Delivered,False
SHP003007,ORD103007,CUST8179,2026-07-04,Delhi_WH01,Bengaluru,Pune,FedEx,Mini Truck,11.15,464,1049.0,In Transit,False
SHP003008,ORD103008,CUST5213,2026-07-04,Chennai_WH05,Lucknow,Delhi,DHL,Bike,47.38,1496,3341.36,Delivered,False
SHP003009,ORD103009,CUST2427,2026-07-04,Chennai_WH05,Mumbai,Kolkata,Delhivery,Truck,32.51,2374,4743.32,In Transit,False
SHP003010,ORD103010,CUST8843,2026-07-04,Mumbai_WH02,Jaipur,Ahmedabad,Delhivery,Mini Truck,41.03,2244,4611.56,Delivered,False
SHP003011,ORD103011,CUST6224,2026-07-04,Mumbai_WH02,Jaipur,Ahmedabad,Ecom Express,Mini Truck,37.15,1228,2736.2,In Transit,False
SHP003012,ORD103012,CUST5880,2026-07-04,Chennai_WH05,Pune,Hyderabad,Blue Dart,Mini Truck,26.02,2353,4627.64,Delivered,False
SHP003013,ORD103013,CUST6028,2026-07-04,Hyderabad_WH04,Kolkata,Mumbai,Blue Dart,Mini Truck,37.99,2273,4627.28,Delivered,False
SHP003014,ORD103014,CUST3854,2026-07-04,Bengaluru_WH03,Jaipur,Bengaluru,DHL,Bike,3.47,208,496.04,Delivered,False
SHP003015,ORD103015,CUST1529,2026-07-04,Mumbai_WH02,Ahmedabad,Delhi,DHL,Mini Truck,7.36,743,1505.72,In Transit,False
SHP003016,ORD103016,CUST9016,2026-07-04,Mumbai_WH02,Chennai,Hyderabad,Ecom Express,Mini Truck,49.37,999,2470.64,Delivered,False
SHP003017,ORD103017,CUST5086,2026-07-04,Hyderabad_WH04,Chennai,Hyderabad,DHL,Mini Truck,39.8,2394,4866.8,In Transit,True
SHP003018,ORD103018,CUST9932,2026-07-04,Delhi_WH01,Kolkata,Hyderabad,FedEx,Bike,13.85,1664,3241.4,In Transit,True
SHP003019,ORD103019,CUST1957,2026-07-04,Bengaluru_WH03,Jaipur,Kolkata,Ecom Express,Bike,13.34,1532,2997.68,Delivered,False
SHP003020,ORD103020,CUST4322,2026-07-04,Chennai_WH05,Chennai,Mumbai,Blue Dart,Van,31.61,1683,3488.72,Delivered,False
SHP003021,ORD103021,CUST3141,2026-07-04,Hyderabad_WH04,Pune,Jaipur,DHL,Bike,1.25,346,717.8,Delivered,False
SHP003022,ORD103022,CUST5895,2026-07-04,Mumbai_WH02,Ahmedabad,Pune,Blue Dart,Mini Truck,23.47,2437,4748.24,Delivered,False
SHP003023,ORD103023,CUST9350,2026-07-04,Chennai_WH05,Kolkata,Jaipur,FedEx,Bike,46.71,1707,3713.12,Delivered,False
SHP003024,ORD103024,CUST6720,2026-07-04,Bengaluru_WH03,Delhi,Hyderabad,FedEx,Bike,2.88,1400,2634.56,Delayed,True
SHP003025,ORD103025,CUST3701,2026-07-04,Delhi_WH01,Hyderabad,Mumbai,Delhivery,Truck,26.78,1586,3256.16,Delivered,False
SHP003026,ORD103026,CUST9213,2026-07-04,Delhi_WH01,Mumbai,Bengaluru,DHL,Mini Truck,44.97,1913,4063.04,Delivered,False
SHP003027,ORD103027,CUST5369,2026-07-04,Delhi_WH01,Bengaluru,Jaipur,FedEx,Mini Truck,41.58,2487,5055.56,Delayed,True
SHP003028,ORD103028,CUST3028,2026-07-04,Bengaluru_WH03,Jaipur,Pune,Blue Dart,Mini Truck,9.33,486,1066.76,In Transit,True
SHP003029,ORD103029,CUST5464,2026-07-04,Mumbai_WH02,Chennai,Bengaluru,FedEx,Truck,35.88,1918,3962.96,In Transit,True
SHP003030,ORD103030,CUST7992,2026-07-04,Delhi_WH01,Jaipur,Hyderabad,DHL,Truck,39.24,973,2302.28,Delivered,False
SHP003031,ORD103031,CUST5283,2026-07-04,Chennai_WH05,Hyderabad,Delhi,Ecom Express,Bike,34.85,602,1581.8,Delivered,False
SHP003032,ORD103032,CUST9804,2026-07-04,Hyderabad_WH04,Pune,Hyderabad,FedEx,Bike,33.51,1605,3371.12,In Transit,True
SHP003033,ORD103033,CUST8140,2026-07-04,Bengaluru_WH03,Mumbai,Hyderabad,Ecom Express,Truck,37.62,1071,2459.24,Delivered,False
SHP003034,ORD103034,CUST4949,2026-07-04,Hyderabad_WH04,Lucknow,Pune,DHL,Mini Truck,26.52,721,1696.04,Delayed,True
SHP003035,ORD103035,CUST4920,2026-07-04,Delhi_WH01,Hyderabad,Kolkata,Delhivery,Van,34.31,1037,2358.32,In Transit,True
SHP003036,ORD103036,CUST7555,2026-07-04,Hyderabad_WH04,Jaipur,Lucknow,Ecom Express,Van,23.42,180,685.04,Delivered,False
SHP003037,ORD103037,CUST2381,2026-07-04,Bengaluru_WH03,Hyderabad,Jaipur,DHL,Van,17.84,405,1023.08,In Transit,True
SHP003038,ORD103038,CUST2525,2026-07-04,Bengaluru_WH03,Chennai,Pune,Delhivery,Mini Truck,11.55,300,758.6,Delivered,False
SHP003039,ORD103039,CUST3743,2026-07-04,Bengaluru_WH03,Jaipur,Ahmedabad,Delhivery,Van,15.96,1613,3174.92,Delivered,False
SHP003040,ORD103040,CUST1278,2026-07-04,Delhi_WH01,Chennai,Hyderabad,Ecom Express,Bike,49.82,1186,2812.64,Delivered,False
SHP003041,ORD103041,CUST4491,2026-07-04,Mumbai_WH02,Hyderabad,Ahmedabad,Blue Dart,Bike,34.7,266,975.2,Cancelled,True
SHP003042,ORD103042,CUST7817,2026-07-04,Delhi_WH01,Jaipur,Kolkata,FedEx,Bike,13.64,1624,3166.88,Delivered,False
SHP003043,ORD103043,CUST5461,2026-07-04,Chennai_WH05,Lucknow,Jaipur,Blue Dart,Bike,23.01,2332,4553.72,Delivered,False
SHP003044,ORD103044,CUST8183,2026-07-04,Chennai_WH05,Lucknow,Chennai,Blue Dart,Bike,45.37,1679,3646.64,Delivered,False
SHP003045,ORD103045,CUST8433,2026-07-04,Delhi_WH01,Lucknow,Delhi,Blue Dart,Bike,20.41,2451,4736.72,In Transit,True
SHP003046,ORD103046,CUST2667,2026-07-04,Delhi_WH01,Ahmedabad,Mumbai,Ecom Express,Van,9.85,1080,2142.2,In Transit,True
SHP003047,ORD103047,CUST8177,2026-07-04,Delhi_WH01,Kolkata,Bengaluru,Blue Dart,Truck,0.68,1566,2906.96,Delivered,False
SHP003048,ORD103048,CUST5990,2026-07-04,Delhi_WH01,Pune,Kolkata,Delhivery,Truck,27.38,2278,4508.96,Delivered,False
SHP003049,ORD103049,CUST7424,2026-07-04,Delhi_WH01,Lucknow,Kolkata,Ecom Express,Van,6.1,1097,2127.8,Delivered,False
SHP003050,ORD103050,CUST7803,2026-07-04,Hyderabad_WH04,Hyderabad,Delhi,Blue Dart,Van,14.86,1903,3683.72,In Transit,True
SHP003051,ORD103051,CUST3172,2026-07-04,Hyderabad_WH04,Bengaluru,Lucknow,Blue Dart,Truck,42.93,1647,3559.76,In Transit,True
SHP003052,ORD103052,CUST8810,2026-07-04,Chennai_WH05,Jaipur,Mumbai,Ecom Express,Bike,34.14,135,732.68,Delayed,True
SHP003053,ORD103053,CUST8202,2026-07-04,Chennai_WH05,Lucknow,Chennai,Blue Dart,Mini Truck,9.81,1705,3266.72,Delivered,False
SHP003054,ORD103054,CUST6396,2026-07-04,Delhi_WH01,Delhi,Lucknow,Delhivery,Truck,44.6,315,1182.2,Delivered,False
SHP003055,ORD103055,CUST2306,2026-07-04,Chennai_WH05,Hyderabad,Delhi,DHL,Truck,33.57,890,2084.84,Delivered,False
SHP003056,ORD103056,CUST3043,2026-07-04,Mumbai_WH02,Mumbai,Hyderabad,DHL,Van,3.98,168,430.16,In Transit,True
SHP003057,ORD103057,CUST5903,2026-07-04,Mumbai_WH02,Mumbai,Chennai,FedEx,Mini Truck,4.9,487,1015.4,Delivered,False
SHP003058,ORD103058,CUST5685,2026-07-04,Mumbai_WH02,Jaipur,Chennai,FedEx,Bike,20.54,1919,3780.68,Delivered,False
SHP003059,ORD103059,CUST4458,2026-07-04,Bengaluru_WH03,Bengaluru,Delhi,DHL,Mini Truck,18.74,919,1959.08,Delivered,False
SHP003060,ORD103060,CUST1583,2026-07-04,Mumbai_WH02,Hyderabad,Ahmedabad,FedEx,Truck,7.75,714,1458.2,Delayed,True
SHP003061,ORD103061,CUST1126,2026-07-04,Bengaluru_WH03,Chennai,Ahmedabad,Ecom Express,Bike,23.67,2403,4689.44,Delivered,False
SHP003062,ORD103062,CUST7465,2026-07-04,Delhi_WH01,Bengaluru,Ahmedabad,FedEx,Truck,37.36,316,1097.12,Delivered,False
SHP003063,ORD103063,CUST1698,2026-07-04,Bengaluru_WH03,Bengaluru,Ahmedabad,Blue Dart,Bike,5.3,2041,3817.4,Delivered,False
SHP003064,ORD103064,CUST3334,2026-07-04,Chennai_WH05,Mumbai,Hyderabad,FedEx,Van,35.81,69,633.92,Delivered,False
SHP003065,ORD103065,CUST6771,2026-07-04,Delhi_WH01,Bengaluru,Pune,DHL,Bike,46.2,1215,2821.4,In Transit,True
SHP003066,ORD103066,CUST8878,2026-07-04,Chennai_WH05,Hyderabad,Ahmedabad,Delhivery,Mini Truck,31.38,122,676.16,Delayed,True
SHP003067,ORD103067,CUST3877,2026-07-04,Delhi_WH01,Hyderabad,Delhi,Delhivery,Bike,28.58,1624,3346.16,In Transit,True
SHP003068,ORD103068,CUST6190,2026-07-04,Bengaluru_WH03,Pune,Jaipur,Delhivery,Van,14.58,2090,4016.96,Delivered,False
SHP003069,ORD103069,CUST8098,2026-07-04,Delhi_WH01,Pune,Bengaluru,Delhivery,Mini Truck,11.91,366,881.72,In Transit,True
SHP003070,ORD103070,CUST5861,2026-07-04,Hyderabad_WH04,Jaipur,Mumbai,Ecom Express,Bike,8.38,2392,4486.16,In Transit,True
SHP003071,ORD103071,CUST9178,2026-07-04,Bengaluru_WH03,Bengaluru,Delhi,Delhivery,Van,36.81,1434,3102.92,Delivered,False
SHP003072,ORD103072,CUST8529,2026-07-04,Hyderabad_WH04,Delhi,Mumbai,Ecom Express,Mini Truck,42.34,2159,4474.28,Delivered,False
SHP003073,ORD103073,CUST7393,2026-07-04,Delhi_WH01,Mumbai,Kolkata,Ecom Express,Truck,15.14,924,1924.88,Delivered,False
SHP003074,ORD103074,CUST6434,2026-07-04,Chennai_WH05,Lucknow,Delhi,Ecom Express,Bike,37.77,195,884.24,Delivered,False
SHP003075,ORD103075,CUST6864,2026-07-04,Hyderabad_WH04,Bengaluru,Pune,Blue Dart,Truck,11.96,2089,3983.72,In Transit,True
SHP003076,ORD103076,CUST7743,2026-07-04,Delhi_WH01,Ahmedabad,Bengaluru,Ecom Express,Truck,20.86,424,1093.52,Delivered,False
SHP003077,ORD103077,CUST2593,2026-07-04,Chennai_WH05,Ahmedabad,Delhi,Blue Dart,Bike,7.51,1293,2497.52,Delayed,True
SHP003078,ORD103078,CUST1834,2026-07-04,Bengaluru_WH03,Delhi,Hyderabad,Ecom Express,Bike,14.92,1376,2735.84,In Transit,True
SHP003079,ORD103079,CUST3431,2026-07-04,Hyderabad_WH04,Delhi,Bengaluru,Delhivery,Bike,9.1,1977,3747.8,Delivered,False
SHP003080,ORD103080,CUST3201,2026-07-04,Bengaluru_WH03,Pune,Jaipur,FedEx,Bike,38.6,1913,3986.6,Cancelled,True
SHP003081,ORD103081,CUST7041,2026-07-04,Hyderabad_WH04,Pune,Bengaluru,FedEx,Van,14.14,1795,3480.68,In Transit,True
SHP003082,ORD103082,CUST4572,2026-07-04,Delhi_WH01,Jaipur,Chennai,Ecom Express,Truck,6.74,555,1159.88,Delivered,False
