shipment_id,order_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP004001,ORD104001,2026-07-05,Chennai_WH05,Lucknow,Delhi,FedEx,Truck,3.02,1121,2134.04,Delivered
SHP004002,ORD104002,2026-07-05,Hyderabad_WH04,Bengaluru,Ahmedabad,FedEx,Mini Truck,37.2,928,2196.8,Delivered
SHP004003,ORD104003,2026-07-05,Delhi_WH01,Chennai,Delhi,Ecom Express,Truck,38.03,362,1187.96,Delivered
SHP004004,ORD104004,2026-07-05,Delhi_WH01,Ahmedabad,Jaipur,FedEx,Bike,8.2,1437,2765.0,Delivered
SHP004005,ORD104005,2026-07-05,Hyderabad_WH04,Ahmedabad,Bengaluru,Ecom Express,Van,20.28,246,766.16,In Transit
SHP004006,ORD104006,2026-07-05,Chennai_WH05,Delhi,Chennai,Blue Dart,Van,18.35,825,1785.2,Delivered
SHP004007,ORD104007,2026-07-05,Delhi_WH01,Bengaluru,Chennai,Delhivery,Bike,21.7,923,2001.8,In Transit
SHP004008,ORD104008,2026-07-05,Mumbai_WH02,Jaipur,Hyderabad,Ecom Express,Bike,5.63,1174,2260.76,In Transit
SHP004009,ORD104009,2026-07-05,Delhi_WH01,Jaipur,Pune,DHL,Van,6.13,1236,2378.36,Delivered
SHP004010,ORD104010,2026-07-05,Hyderabad_WH04,Mumbai,Lucknow,Delhivery,Mini Truck,0.93,1231,2306.96,Delivered
SHP004011,ORD104011,2026-07-05,Delhi_WH01,Lucknow,Chennai,DHL,Truck,45.92,1880,4015.04,Delivered
SHP004012,ORD104012,2026-07-05,Delhi_WH01,Hyderabad,Jaipur,DHL,Truck,24.84,1954,3895.28,Delivered
SHP004013,ORD104013,2026-07-05,Mumbai_WH02,Delhi,Kolkata,DHL,Truck,13.96,1364,2702.72,Delivered
SHP004014,ORD104014,2026-07-05,Mumbai_WH02,Pune,Jaipur,Blue Dart,Mini Truck,4.29,1378,2611.88,Delivered
SHP004015,ORD104015,2026-07-05,Bengaluru_WH03,Mumbai,Jaipur,Blue Dart,Van,42.93,1333,2994.56,Delivered
SHP004016,ORD104016,2026-07-05,Delhi_WH01,Kolkata,Delhi,DHL,Van,9.88,594,1267.76,Delivered
SHP004017,ORD104017,2026-07-05,Bengaluru_WH03,Jaipur,Bengaluru,DHL,Mini Truck,42.96,1323,2976.92,In Transit
SHP004018,ORD104018,2026-07-05,Chennai_WH05,Mumbai,Jaipur,Blue Dart,Mini Truck,40.28,1785,3776.36,Delivered
SHP004019,ORD104019,2026-07-05,Mumbai_WH02,Pune,Mumbai,Delhivery,Truck,36.39,616,1625.48,Delayed
SHP004020,ORD104020,2026-07-05,Chennai_WH05,Pune,Hyderabad,DHL,Van,49.88,2149,4546.76,Delivered
